ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
635	Orange	44r	456	νε´ 	Rom 8:27 (I)	1	Unattributed	
636		44r	457	νϛ´	Rom 8:27 (II)	2	Unattributed	
637		44r	458	νζ´ 	Rom 8:27 (III)	3	Unattributed	
638		44r	459	νη´ 	Rom 8:27 (IV)	4	Unattributed	
639		44r	459Ph	Φωτ(ίου) 	Rom 8:27 (IV)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 511, 32–34 	
640	Orange	44r	460	νθ´ 	Rom 8:28 (I)	1	Unattributed	
641		44v 	461	ξ´ 	Rom 8:28 (II)	2	Unattributed	
642		44v 	462	ξα´ 	Rom 8:28 (III)	3	Unattributed	
643	Orange	44v 	463	ξβ´ 	Rom 8:29 (I)	1	Unattributed	
644		44v 	464	ξγ´	Rom 8:29 (II)	2	Unattributed	
645		44v 	464ex	Kυ(ρίλλου) and sign 	Rom 8:29 (II)	3	Cyr., Rom. (CPG 5209): Pusey, 1872, 220, 22–26, 221, 1–4	
646		44v 	465	ξδ´	Rom 8:29 (III)	4	Unattributed	
647	Orange	44v 	466	ξε´ 	Rom 8:30 (I)	1	Unattributed	
648		44v 	467	ξϛ´	Rom 8:30 (II)	2	Unattributed	
649		44v 	468	ξζ´	Rom 8:30 (III)	3	Unattributed	
650	Green	44v 	468Ph	Φωτ(ίου) 	Rom 8:28 (IV)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 512, 1–2 	
651	Orange	45r	469	ξη´ 	Rom 8:31 (I)	1	Unattributed	
652		45r	469Ph	Φωτ(ίου) 	Rom 8:31 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 512, 3–32, 513, 1–5 	
653		45r	470	ξθ´ 	Rom 8:31 (II)	3	Unattributed	
654	Orange	45r	471	ο´ 	Rom 8:32 (I)	1	Unattributed	
655		45v	472	οα´ 	Rom 8:32 (II)	2	Unattributed	
656	Orange	45v	473	οβ´	Rom 8:33 (I)	1	Unattributed	
657		45v	474	ογ´	Rom 8:33 (II)	2	Unattributed	
658	Orange	45v	475	οδ´ 	Rom 8:34 (I)	1	Unattributed	
659		45v	476	οε´ 	Rom 8:34 (II)	2	Unattributed	
660		45v	477	οϛ´	Rom 8:34 (III)	3	Unattributed	
661		45v	477ex	Oἰκου(μενίου) and sign 	Rom 8:34 (III)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 428, 8–16	
662		45v	478	οζ´ 	Rom 8:34 (IV)	5	Unattributed	
663		46r	478ex	Kυ(ρίλλου) and sign 	Rom 8:34 (IV)	6	Unidentified 	
664		46r	478Ph	Φωτ(ίου) 	Rom 8:34 (IV)	7	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 513, 6–16	
665	Orange	46r	479	oη´	Rom 8:35 (I)	1	Unattributed	
666		46r	479Ph	Φωτ(ίου) 	Rom 8:35 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 513, 17–25	
667		46r	480	οθ´	Rom 8:35 (II)	1	Unattributed	
668	Orange	46r	481	π´	Rom 8:36 (I)	1	Unattributed	
669		46r	482	πα´ 	Rom 8:36 (II)	2	Unattributed	
670		46r	483	πβ´	Rom 8:36 (III)	3	Unattributed	
671		46r	484	πγ´	Rom 8:36 (IV)	4	Unattributed	
672	Orange	46r	485	πδ´	Rom 8:37	1	Unattributed	
673	Orange	46r	486	πε´	Rom 8:38	1	Unattributed	
674	Orange	46v	486exa	Θεοδω(ρήτου) and sign 	Rom 8:39 (I)	1	Thdt., Rom., III, 61 (CPG 6209): Lorrain, 2015a, 269.61, 6–8	
675		46v	486exb 	Ἄλλως 	Rom 8:39 (I)	2	Thdr. Mops., Rom. (CPG 3846): Staab, 1933, 142, 23–24	
676		46v	487	πϛ´	Rom 8:39 (II)	3	Unattributed	
677	Orange	46v	488	πζ´	Rom 9:1	1	Unattributed	
678	Orange	46v	489	πη´	Rom 9:3 (I)	1	Unattributed	
679		46v	489ex	– 	Rom 9:3 (II)	2	Unattributed	
680	Green	46v–47r	489Pha	Φωτ(ίου) 	Rom 9:3 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 513, 26–27, 514, 1–35, 515, 1–32	
681		47r	489Phb	Φωτ(ίου) 	Rom 9:3 (III)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 515, 33–36	
682		47r	490	πθ´	Rom 9:3 (III)	5	Unattributed	The scholium is added in the space for the biblical text.
683		47r		ϟ´				The number is present οnly above the biblical lemma; the scholium is absent.
684		47v	491	ϟα´	Rom 9:3 (IV)	6	Unattributed	
685		47v	491Ph	Φωτ(ίου) 	Rom 9:3 (V)	7	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 515, 37–38, 516, 1–3	
686	Orange	47v	492	ϟβ´	Rom 9:4	1	Unattributed	
687	Orange	47v	492Ph	Φωτ(ίου) 	Rom 9:5 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 516, 4–5 	
688		47v	493	ϟγ´	Rom 9:5 (II)	2	Unattributed	
689	Orange	47v	494	ϟδ´	Rom 9:6 (I)	1	Unattributed	
690		47v	494Ph	Φωτ(ίου) 	Rom 9:6 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 516, 6–8	
691	Orange	47v	495	ϟε´	Rom 9:7 (I) 	1	Unattributed	
692		47v	495Ph	Φωτ(ίου) 	Rom 9:7 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 516, 9–14	
693	Orange	48r	496	ϟϛ´	Rom 9:8 (I)	1	Unattributed	
694		48r	497	ϟζ´ 	Rom 9:8 (II)	2	Unattributed	
695		48r	498	ϟη´	Rom 9:8 (III) 	3	Unattributed	
696	Orange	48r	499	ϟθ´	Rom 9:10 (I)	1	Unattributed	
697		48r	500	ρ´	Rom 9:10 (II)	2	Unattributed	The number is present only above the biblical text. 2
698	Orange	48r	501	α´	Rom 9:11 (I)	1	Unattributed	
699		48v	502	β´ 	Rom 9:11 (II)	2	Unattributed	
700		48v–49r	502Ph	Φωτ(ίου) 	Rom 9:11 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 516, 15–35, 517, 1–27 	
701	Orange	49r	503	γ´	Rom 9:13 (I)	1	Unattributed	
702		49r	504	δ´	Rom 9:13 (II)	2	Unattributed	
703	Orange	49r	505	ε´	Rom 9:14	1	Unattributed	
704	Orange	49r	506	ϛ´	Rom 9:15	1	Unattributed	
705	Orange	49v	507	ζ´	Rom 9:16 (I)	1	Unattributed	
706		49v–50r	507Ph	Φωτ(ίου) 	Rom 9:16 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 517, 28–36, 518, 1–38, 519, 1–13 	
707		50r	508	η´	Rom 9:16 (I)	3	Unattributed	
708	Orange	50r	509	θ´	Rom 9:17 (I)	1	Unattributed	
709		50r	509ex	Oἰκου(μενίου)	Rom 9:17 (II)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 428, 17–20	
710	Orange	50r	510	ι´	Rom 9:18 (I)	1	Unattributed	
711		50r	510exa	Γρηγορίου Νύ(σσης) and sign 	Rom 9:18 (I)	2	Gr. Nyss., v. Mos. (BHG 2278, CPG 3159): Daniélou, 1968, 150, 9–13	
712		50r	510exb	Tοῦ ἁγίου Βασι(λείου)	Rom 9:18 (I)	3	Bas., hom. Deus auct. (CPG 2853): PG31.341, 4–8	
713	Orange	50r	511	ια´	Rom 9:19	1	Unattributed	
714	Orange	50r	511ex	Sign	Rom 9:20 (I) 	1	Or., fr. in Rom. (CPG 1457.2)?: Birdsall, 1975, 219–220 	
715		50v	512	ιβ´	Rom 9:20 (II)	2	Unattributed	
716	Orange	50v	513	ιγ´	Rom 9:21 (I)	1	Unattributed	
717		50v	514	ιδ´	Rom 9:21 (II)	2	Unattributed	
718	Orange	50v	515	ιε´	Rom 9:22 (I) 	1	Unattributed	
719		50v	515ex	Oἰκου(μενίου)	Rom 9:22 (II)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 429, 2–4	
720	Green	50v	515Ph	Φωτ(ίου) 	Rom 9:22 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 519, 29–31	
721		50v	516	ιϛ´ 	Rom 9:22 (III)	4	Unattributed	
722		50v	516Ph	Φωτ(ίου) 	Rom 9:22 (III)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 519, 1–13	
723		50v	517	ιζ´	Rom 9:22 (IV) 	6	Unattributed	
724		51r	518	ιη´	Rom 9:22 (V)	7	Unattributed	
725		51r	518Pha	Φωτ(ίου) 	Rom 9:22 (V)	8	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 520, 1–20 	
726	Orange	51r	518Phb	Φωτ(ίου) 	Rom 9:23 (I) 	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 520, 21–26 	
727		51r	519	ιθ´	Rom 9:23 (II)	2	Unattributed	
728		51r	519Ph	Φωτ(ίου) 	Rom 9:23 (III)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 520,  27–32	
729		51r	520	κ´	Rom 9:23 (III)	4	Unattributed	
730	Orange	51r	521	κα´ 	Rom 9:24 	1	Unattributed	
731	Orange	51v	522	κβ´ 	Rom 9:25 (I) 	1	Unattributed	
732		51v	523	κγ´	Rom 9:25 (II)	2	Unattributed	
733	Orange	51v	524	κδ´	Rom 9:26	1	Unattributed	
734	Orange	51v	525	κε´ 	Rom 9:27 (I)	1	Unattributed	
735		51v	526	κϛ´ 	Rom 9:27 (II)	2	Unattributed	
736		51v	526Ph	Φωτ(ίου) 	Rom 9:27 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 520, 33–35, 521, 1–3 	
737	Orange	51v	527	κζ´	Rom 9:28 (I)	1	Unattributed	
738		51v–52r	527Ph	Φωτ(ίου) 	Rom 9:28 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 521, 4–37, 522, 1–3 	
739		52r	528	κη´	Rom 9:28 (II)	3	Unattributed	
740		52r	529	κθ´	Rom 9:28 (III)	4	Unattributed	
741	Orange	52r	530	λ´	Rom 9:29 (I)	1	Unattributed	
742		52r	531	λα´	Rom 9:29 (II)	2	Unattributed	
743		52r	531ex	Oἰκου(μενίου)	Rom 9:29 (II) 	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933. 429, 24–25	
744		52r	531Ph	Φωτ(ίου) 	Rom 9:29 (II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 522, 4–26 	
745	Orange	52v	532	λβ´	Rom 9:30 (I)	1	Unattributed	
746		52v	533	λγ´	Rom 9:30 (II)	2	Unattributed	
747		52v	533Ph	Φωτ(ίου) 	Rom 9:30 (III)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 522, 27–35, 523, 1–6 	
748		52v	534	λδ´ 	Rom 9:30 (IV)	4	Unattributed	
749	Orange	52v	535	λε´	Rom 9:31 (I)	1	Unattributed	
750		52v	536	λϛ´ 	Rom 9:31 (II)	2	Unattributed	
751	Orange	52v	537	λζ´	Rom 9:32 (I)	1	Unattributed	
752		52v	538	λη´	Rom 9:32 (II)	2	Unattributed	
753	Orange	52v	539	λθ´	Rom 9:33 (I)	1	Unattributed	
754		52v	539ex	Θεοδω(ρήτου)	Rom 9:33 (I)	2	Thdt., Rom., IV, 20 (CPG 6209): Lorrain, 2015a, 283.20, 4–6	The attribution is present only in front of the scholium.
755		53r	540	μ´ 	Rom 9:33 (II)	3	Unattributed	
756	Orange	53r	541	μα´ 	Rom 10:1 (I)	1	Unattributed	
757		53r	541Ph	Φωτ(ίου) 	Rom 10:1 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 523, 7–9 	
758		53r	542	μβ´	Rom 10:1 (II)	3	Unattributed	
759		53r	542Ph	Φωτ(ίου) 	Rom 10:1 (II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 523, 10–12 	
760	Orange	53r	543	μγ´ 	Rom 10:2 (I)	1	Unattributed	
761		53r	544	μδ´	Rom 10:2 (II)	2	Unattributed	
762	Orange	53r	545	με´ 	Rom 10:3 (I)	1	Unattributed	
763		53r	546	μϛ´ 	Rom 10:3 (II)	2	Unattributed	
764		53r	547	μζ´ 	Rom 10:3 (III)	3	Unattributed	
765		53r	547Ph	Φωτ(ίου) 	Rom 10:3 (III)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 523, 13–14	
766		53r	548	μη´	Rom 10:3 (IV)	5	Unattributed	
767		53r	549	μθ´	Rom 10:3 (V)	6	Unattributed	
768	Orange	53r	550	ν´	Rom 10:4 (I)	1	Unattributed	
769		53r	550Ph	Φωτ(ίου) 	Rom 10:4 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 523, 15–17	
770		53r	551	να´ 	Rom 10:4 (II)	3	Unattributed	
771		53r	552	νβ´ 	Rom 10:4 (III)	4	Unattributed	
772	Orange	53r	553	νγ´	Rom 10:5 (I)	1	Unattributed	
773		53v	554	νδ´	Rom 10:5 (II)	2	Unattributed	
774	Orange	53v	555	νε´ 	Rom 10:6 (I)	1	Unattributed	
775		53v	556	νϛ´	Rom 10:6 (II)	2	Unattributed	
776	Orange	53v	557	νζ´ 	Rom 10:8 	1	Unattributed	
777	Orange	53v	558	νη´ 	Rom 10:9 (I)	1	Unattributed	
778		53v	559	νθ´	Rom 10:9 (II)	2	Unattributed	
779	Orange	54r	560	ξ´	Rom 10:10 (I)	1	Unattributed	
780		54r	560ex	Sign	Rom 10:10 (I)	2	Acac. Caes., fr. Rom. (CPG 3511): Staab, 1933, 55, 21–24	
781	Orange	54r	561	ξα´ 	Rom 10:11	1	Unattributed	
782	Orange	54r	562	ξβ´	Rom 10:12 (I)	1	Unattributed	
783		54r	563	ξγ´	Rom 10:12 (II)	2	Unattributed	
784		54r	564	ξδ´	Rom 10:12 (III)	3	Unattributed	
785	Orange	54r	565	ξε´	Rom 10:13 	1	Unattributed	
786	Orange	54r	566	ξϛ´ 	Rom 10:14 (I)	1	Unattributed	
787		54r	566Ph	Φωτ(ίου) 	Rom 10:14 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 523, 18–28 	
788		54r	567	ξζ´	Rom 10:14 (II)	3	Unattributed	
789		54r	568	ξη´	Rom 10:14 (III)	4	Unattributed	
790	Orange	54v	569	ξθ´	Rom 10:15 (I)	1	Unattributed	
791		54v	570	ο´	Rom 10:15 (II)	2	Unattributed	
792		54v	571	οα´ 	Rom 10:15 (III)	3	Unattributed	
793		54v	572	οβ´	Rom 10:15 (IV)	4	Unattributed	
794	Orange	54v	573	ογ´	Rom 10:16 (I)	1	Unattributed	
795		54v	574	οδ´ 	Rom 10:16 (II)	2	Unattributed	
796	Orange	54v	575	οε´	Rom 10:17 (I)	1	Unattributed	
797		54v	576	οϛ´ 	Rom 10:17 (II)	2	Unattributed	
798	Orange	54v	577	οζ´	Rom 10:18	1	Unattributed	
799	Orange	54v	578	οη´	Rom 10:19 (I)	1	Unattributed	
800		55r	579	οθ´ 	Rom 10:19 (II)	2	Unattributed	
801		55r	580	π´ 	Rom 10:19 (III)	3	Unattributed	
802		55r	581	πα´ 	Rom 10:19 (IV)	4	Unattributed	
803	Orange	55r	582	πβ´	Rom 10:20 (I)	1	Unattributed	
804		55r	583	πγ´	Rom 10:20 (II)	2	Unattributed	
805		55r	584	πδ´	Rom 10:20 (III)	3	Unattributed	
806	Orange	55r	585	πε´	Rom 10:21 (I)	1	Unattributed	
807	Green	55r	585Ph	Φωτ(ίου) 	Rom 10:20 (IV)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 524, 1–3 	
808		55r	586	πϛ´ 	Rom 10:21 (II)	1	Unattributed	
809	Orange	55r	587	πζ´	Rom 11:1 (I)	1	Unattributed	
810		55r	588	πη´	Rom 11:1 (II)	2	Unattributed	
811	Orange	55v	589	πθ´	Rom 11:2 (I)	1	Unattributed	
812		55v	590	ϟ´	Rom 11:2 (II)	2	Unattributed	
813	Orange	55v	591	ϟα´ 	Rom 11:3	1	Unattributed	
814	Orange	55v	592	ϟβ´	Rom 11:4 (I)	1	Unattributed	
815		55v	593	ϟγ´	Rom 11:4 (II)	2	Unattributed	
816	Orange	55v	594	ϟδ´	Rom 11:5 (I)	1	Unattributed	
817		55v	595	ϟε´	Rom 11:5 (II)	2	Unattributed	
818	Orange	56r	596	ϟϛ´	Rom 11:6 (I)	1	Unattributed	
819		56r	596Ph	Φωτ(ίου) 	Rom 11:6  (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 524, 4–29 	
820		56r	597	ϟζ´	Rom 11:6 (II)	3	Unattributed	
821	Orange	56r	598	ϟη´ 	Rom 11:7 (I)	1	Unattributed	
822		56r	599	ϟθ´	Rom 11:7 (II)	2	Unattributed	
823		56v	600	ρ´	Rom 11:7 (III)	3	Unattributed	
824	Orange	56v	601	α´	Rom 11:8 (I)	1	Unattributed	
825		56v	602	β´	Rom 11:8 (II)	2	Unattributed	
826		56v	603	γ´	Rom 11:8 (III)	3	Unattributed	
827	Orange	56v	604	δ´	Rom 11:9 (I)	1	Unattributed	
828		56v	605	ε´	Rom 11:9 (II)	2	Unattributed	
829		56v	606	ϛ´	Rom 11:9 (III)	3	Unattributed	
830		56v	607	ζ´	Rom 11:9 (IV)	4	Unattributed	
831	Orange	56v	608	η´	Rom 11:10 (I)	1	Unattributed	
832		56v	608ex	Sign	Rom 11:10 (II)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 430, 4–5	
833	Orange	57r	609	θ´	Rom 11:11 (I)	1	Unattributed	
834		57r	609Ph	Φωτ(ίου) 	Rom 11:11 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 524, 30–34, 525, 1–41 	
835		57v	610	ι´	Rom 11:11 (II)	3	Unattributed	
836		57v	611	ια´ 	Rom 11:11 (III)	4	Unattributed	
837	Orange	57v	612	ιβ´ 	Rom 11:12 (I)	1	Unattributed	
838		57v	613	ιγ´	Rom 11:12 (II)	2	Unattributed	
839		57v	613Ph	Φωτ(ίου) 	Rom 11:12 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 526, 1–5 	
840	Orange	57v	614	ιδ´ 	Rom 11:13	1	Unattributed	
841	Orange	57v	615	ιε´	Rom 11:14 (I)	1	Unattributed	
842		57v	616	ιϛ´	Rom 11:14 (II)	2	Unattributed	
843		57v	617	ιζ´	Rom 11:14 (III)	3	Unattributed	
844	Orange	58r	618	ιη´ 	Rom 11:15 (I)	1	Unattributed	
845		58r	618Pha	Φωτ(ίου) 	Rom 11:15 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 526, 6–15 	
846		58r	618Phb	Φωτ(ίου) 	Rom 11:15 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 526, 16–23 	
847		58r	619ex 	ιθ´ and Οἰκουμενίου	Rom 11:15 (II)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 430, 6–8	
848	Orange	58r	619Ph	Φωτ(ίου) 	Rom 11:16 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 526, 24–27	
849		58r	620	κ´	Rom 11:16 (I)	2	Unattributed	
850		58r	621	κα´ 	Rom 11:16 (II)	3	Unattributed	
851		58r	621ex	Oἰκου(μενίου)	Rom 11:16 (II)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 430, 9–10	
852	Orange	58r	622	κβ´	Rom 11:17 (I)	1	Unattributed	
853		58r	623	κγ´	Rom 11:17 (II)	2	Unattributed	
854		58r	624	κδ´	Rom 11:17 (III)	3	Unattributed	
855		58v	625	κε´ 	Rom 11:17 (IV)	4	Unattributed	
856	Orange	58v	626	κϛ´	Rom 11:18 (I)	1	Unattributed	
857		58v	627	κζ´	Rom 11:18 (II)	2	Unattributed	
858	Orange	58v	628	κη´ 	Rom 11:19	1	Unattributed	
859	Orange	58v	629	κθ´	Rom 11:20 (I)	1	Unattributed	
860		58v	630	λ´	Rom 11:20 (II)	2	Unattributed	
861	Orange	58v	631	λα´ 	Rom 11:21 (I)	1	Unattributed	
862		58v	632	λβ´	Rom 11:21 (II)	2	Unattributed	
863	Orange	58v	633	λγ´	Rom 11:22 (I)	1	Unattributed	
864		59r	634	λδ´ 	Rom 11:22 (II)	2	Unattributed	
865		59r	635	λε´ 	Rom 11:22 (III)	3	Unattributed	
866	Orange	59r	636	λϛ´	Rom 11:23 (I)	1	Unattributed	
867		59r	637	λζ´	Rom 11:23 (II)	2	Unattributed	
868	Orange	59r	638	λη´ 	Rom 11:24 (I)	1	Unattributed	
869		59r	639	λθ´	Rom 11:24 (II)	2	Unattributed	
870	Orange	59r	640	μ´	Rom 11:25 (I)	1	Unattributed	
871		59r	641	μα´	Rom 11:25 (II)	2	Unattributed	The number is present only above the biblical lemma.
872		59r	641ex	Γενναδίου and sign 	Rom 11:25 (II)	3	Genn., fr. Rom. (CPG 5973): Staab, 1933, 400, 24–25, 401, 1–8	
873		59r	642	μβ´	Rom 11:25 (III)	4	Unattributed	
874		59v	643	μγ´ 	Rom 11:25 (IV)	5	Unattributed	
875	Orange	59v	643ex	Διονυσίου Ἀλεξανδρείας and sign 	Rom 11:26 (I)	1	Dion. Al., fr. Rom. (CPG 1591): Feltoe, 1904, 25 (see further Staab, 1926, 145)	
876		59v	644	μδ´	Rom 11:26 (II)	2	Unattributed	The number is present only in front of the scholium.
877		59v	645	με´ 	Rom 11:26 (III)	3	Unattributed	
878	Orange	59v	646	μϛ´	Rom 11:27	1	Unattributed	
879	Orange	59v	647	μζ´ 	Rom 11:28 (I)	1	Unattributed	
880		59v	647Ph	Φωτ(ίου) 	Rom 11:28 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 526, 28–31, 527, 1–23 	
881		60r	648	μη´ 	Rom 11:28 (II)	3	Unattributed	
882		60r	648ex	Oἰκουμενίου	Rom 11:28 (III)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 430, 11–15	
883	Orange	60r	649ex	μθ and Οἰκουμενίου	Rom 11:29	1	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 430, 15	
884	Orange	60r	650	ν´ 	Rom 11:30 (I)	1	Unattributed	
885		60r	650Ph	Φωτ(ίου) 	Rom 11:30 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 527, 24–38, 528, 1–15	
886	Orange	60v	651	να´ 	Rom 11:32 (I)	1	Unattributed	
887		60v	652	νβ´	Rom 11:32 (II)	2	Unattributed	
888	Green	60v	652Ph	Φωτ(ίου) 	Rom 11:32 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 528, 16–23	
889	Orange	60v	653	νγ´ 	Rom 11:33 (I)	1	Unattributed	
890		60v	654	νδ´	Rom 11:33 (II)	2	Unattributed	
891		60v	655	νε´ 	Rom 11:33 (III)	3	Unattributed	
892		60v	656	νϛ´	Rom 11:33 (IV)	4	Unattributed	
893		60v	657	νζ´ 	Rom 11:33 (V)	5	Unattributed	
894	Orange	60v	658	νη´ 	Rom 11:34	1	Unattributed	
895	Orange	60v	659	νθ´ 	Rom 11:35	1	Unattributed	
896	Orange	60v	660	ξ´	Rom 11:36 (I)	1	Unattributed	
897		60v	661	ξα´ 	Rom 11:36 (II)	2	Unattributed	
898		60v	662	ξβ´ 	Rom 11:36 (III)	3	Unattributed	
899		60v	663	ξγ´	Rom 11:36 (IV)	4	Unattributed	
900	Green	60v	663Ph	Φωτ(ίου) 	Rom 11:32 (I)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 528, 24–37	
901	Orange	61r	664	ξδ´	Rom 12:1 (I)	1	Unattributed	
902		61r	665	ξε´ 	Rom 12:1 (III)	2	Unattributed	
903		61r	666	ξϛ´	Rom 12:1 (IV)	3	Unattributed	
904		61r	666Ph	Φωτ(ίου) 	Rom 12:1 (II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 529, 1–20	
905		61r	667	ξζ´	Rom 12:1 (V)	5	Unattributed	
906	Orange	61v	668ex	ξη´ and Οἰκουμενίου	Rom 12:2 (I)	1	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 430, 16	
907		61v	669	ξθ´ 	Rom 12:2 (I)	2	Unattributed	
908		61v	669Ph	Φωτ(ίου) 	Rom 12:2 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 529, 21–35	
909		61v	670	ο´	Rom 12:2 (II)	4	Unattributed	
910		61v	671	οα´ 	Rom 12:2 (III)	5	Unattributed	
911		61v	672	οβ´	Rom 12:2 (IV)	6	Unattributed	
912		61v	673	ογ´	Rom 12:2 (V)	7	Unattributed	
913	Orange	62r	674	οδ´	Rom 12:3 (I)	1	Unattributed	
914		62r	674Ph	Φωτ(ίου) 	Rom 12:3 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 530, 1–11	
915		62r	675	οε´	Rom 12:3 (II)	3	Unattributed	
916		62r	676	οϛ´	Rom 12:3 (III)	4	Unattributed	
917		62r	677	οζ´	Rom 12:3 (IV)	5	Unattributed	
918		62r	678	οη´	Rom 12:3 (V)	6	Unattributed	
919		62r	678Ph	Φωτ(ίου) 	Rom 12:3 (IV)	7	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 530, 12–20	
920	Orange	62r	679	οθ´	Rom 12:4	1	Unattributed	
921	Orange	62r	680	π´	Rom 12:5	1	Unattributed	
922	Orange	62v	681	πα´ 	Rom 12:6 (I)	1	Unattributed	
923		62v	682	πβ´	Rom 12:6 (II)	2	Unattributed	
924		62v	682Ph	Φωτ(ίου) 	Rom 12:6 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 530, 21–32, 531, 1–30	
925		63r	683	πγ´	Rom 12:6 (III)	4	Unattributed	
926		63r	683ex	Sign	Rom 12:6 (IV)	5	Unattributed	
927	Orange	63r	684	πδ´	Rom 12:7	1	Unattributed	
928	Orange	63r	684exa	Sign	Rom 12:8 (I)	1	Unattributed	
929		63r	684exb	Sign	Rom 12:8 (II)	2	Unattributed	
930		63r	684exc	Sign	Rom 12:8 (III)	3	Unattributed	
931		63r	684exd	Sign	Rom 12:8 (IV)	4	Unattributed	
932		63r	685	πε´	Rom 12:8 (V)	5	Unattributed	
933		63r	685Ph	Φωτ(ίου) 	Rom 12:8 (V)	6	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 531, 31–35, 532, 1–3	
934		63r	686	πϛ´	Rom 12:8 (VI)	7	Unattributed	The number is present only above the biblical lemma.
935		63r	687	πζ´	Rom 12:8 (VII)	8	Unattributed	
936	Orange	63r	688	πη´	Rom 12:9 (I)	1	Unattributed	
937		63r	688ex	Sign	Rom 12:9 (II)	2	Unattributed	
938		63r	689	πθ´	Rom 12:9 (III)	3	Unattributed	
939		63r	690	ϟ´	Rom 12:9 (IV)	4	Unattributed	The number is present only in front of the scholium.
940		63r	690Ph	Φωτ(ίου) 	Rom 12:9 (IV)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 532, 4–12	
941	Orange	63v	691	ϟα´ 	Rom 12:10	1	Unattributed	
942	Orange	63v	692	ϟβ´ 	Rom 12:11 (I)	1	Unattributed	
943		63v	693	ϟγ´ 	Rom 12:11 (II)	2	Unattributed	
944		63v	694	ϟδ´	Rom 12:11 (III)	3	Unattributed	
945	Orange	63v	695	ϟε´	Rom 12:12 (I)	1	Unattributed	
946		63v	696	ϟϛ´	Rom 12:12 (II)	2	Unattributed	
947		63v	697	ϟζ´	Rom 12:12 (III)	3	Unattributed	
948	Orange	63v	698	ϟη´	Rom 12:13 (I)	1	Unattributed	
