ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
210	Orange	15r	158	νη´ 	Rom 3:4 (I)	1	Unattributed	
211		15r	158ex 	Οἰκουμενίου	Rom 3:4 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 423, 7	
212	Green	15r	158Pha	Φωτ(ίου) 	Rom 3:3 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933. 484 (Rom 3:3) 	
213		15rv	158Phb 	Φωτ(ίου) 	Rom 3:4 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 484‒485 (Rom 3:4) 	
214		15v	159	νθ´	Rom 3:4 (II)	4	Unattributed	
215	Orange	15v	160	ξ´ + ἀντίθεσις, and λύσις 	Rom 3:5 (I)	1	Unattributed	
216		15v–16r	160Ph	Φωτ(ίου) 	Rom 3:5 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 485–486 (Rom 3:5–8) 	
217		16r	161	ξα´ 	Rom 3:5 (II)	3	Unattributed	
218		16r	162	ξβ´	Rom 3:5 (III)	4	Unattributed	
219	Orange	16r	163	ξγ´ 	Rom 3:6	1	Unattributed	
220	Orange	16r	164	ξδ´ 	Rom 3:7 (I)	1	Unattributed	
221		16r	165	ξε´	Rom 3:7 (II)	2	Unattributed	
222	Orange	16r	166	ξϛ´	Rom 3:8 (I)	1	Unattributed	
223		16r	166ex 	Sign	Rom 3:8 (II)	2	Unattributed	
224		16r	167	ξζ´	Rom 3:8 (III)	3	Unattributed	
225	Orange	16v	168	ξη´	Rom 3:9 (I)	1	Unattributed	
226		16v	168ex 	Σευηριαν(οῦ) and sign 	Rom 3:9 (I)	2	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 216, 7–24	
227		16v	168Pha 	Φωτ(ίου) and sign 	Rom 3:9 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 486, 7–29 	
228		16v	168Phb 	Ἄλλως	Rom 3:9 (I)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 486, 30–37; 487, 1–8	
229		17r	169	ξθ´	Rom 3:9 (II)	5	Unattributed	
230		17r	170	ο´	Rom 3:9 (III)	6	Unattributed	
231	Orange	17r	171	οα´ 	Rom 3:12 (I)	1	Unattributed	
232		17r	172	οβ´	Rom 3:12 (II)	2	Unattributed	
233	Orange	17r	173	ογ´	Rom 3:13	1	Unattributed	
234	Orange	17r	174	οδ´	Rom 3:16	1	Unattributed	
235	Orange	17v	175	οε´ 	Rom 3:17	1	Unattributed	
236	Orange	17v	176	οϛ´	Rom 3:19 (I)	1	Unattributed	
237		17v	177exa 	οζ´ and sign 	Rom 3:19 (II)	2	Thdt., Rom., II, 2 (CPG 6209): Lorrain, 2015a, 185.2, 2–5	
238		17v	177exb 	Sign	Rom 3:19 (II)	3	Unattributed	
239		17v	177	οζ´	Rom 3:19 (III)	4	Unattributed	 The number οζ is repeated two times.
240		17v	178	οη´	Rom 3:19 (IV)	5	Unattributed	
241		17v	178Ph	Φωτ(ίου) 	Rom 3:19 (IV)	6	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 487 (Rom 3:19–20)	 The monogram has been probably erased.
242		17v	178ex 	Sign	Rom 3:19 (V)	7	Unattributed	
243	Orange	17v	179	–	Rom 3:20 (I)	1	Unattributed	
244		17v	180	π´	Rom 3:20 (II)	2	Unattributed	The number is present only above the biblical lemma.
245		18r	181	πα´	Rom 3:20 (III)	3	Unattributed	
246		18r	181ex 	Γενναδ(ίου) and sign 	Rom 3:20 (III)	4	Gennad., fr. Rom. (CPG 5973): Staab, 1933, 361, 26–33	
247	Orange	18r	182	πβ´ 	Rom 3:21 (I)	1	Unattributed	
248		18r	183	πγ´	Rom 3:21 (II)	2	Unattributed	
249		18r	184	πδ´ 	Rom 3:21 (II)	3	Unattributed	
250		18r	185	πε´	Rom 3:21 (IV)	4	Unattributed	
